Image,Name,Price,Description,Sku,Unnamed: 5,Unnamed: 6,Category,category,image_path
image_2.avif,Ikigai: The Japanese Secret to a Long and Happy Life Book by Francesc Miralles and Hector Garcia,999,,108710433.0,,,Books,books,../../Books/image_2.avif
image_3.avif,The Art of Not Overthinking by Shaurya Kapoor,999,,174320070.0,,,Books,books,../../Books/image_3.avif
image_4.avif,Think And Grow Rich By Nepoleon Hill,999,,106008115.0,,,Books,books,../../Books/image_4.avif
image_5.avif,The 48 Laws Of Power By Robert Greene,999,,115628869.0,,,Books,books,../../Books/image_5.avif
image_6.avif,Saral CMAT Entrance Preparation Book | Updated 2082 Edition,999,,398253688.0,,,Books,books,../../Books/image_6.avif
image_7.avif,The Power Of Your Subconscious Mind By Joseph Murphy,999,,115113458.0,,,Books,books,../../Books/image_7.avif
image_8.avif,As a Man Thinketh (Nepali Translation of As a Man Thinketh by James Allen) Jasto Soch Testai Jeevan,999,,128222317.0,,,Books,books,../../Books/image_8.avif
image_9.avif,Ikigai : Hardcover : Japanese Secret to Long and Happy Life,999,,162990556.0,,,Books,books,../../Books/image_9.avif
image_10.avif,The Subtle Art Of Not Giving A F*ck By Mark Manson,999,,151949703.0,,,Books,books,../../Books/image_10.avif
image_11.avif,Rich Dad Poor Dad (Nepali) By Robart T Kiyosaki,999,,100116059.0,,,Books,books,../../Books/image_11.avif
image_12.avif,Eat That Frog (Nepali) By Brain Tracy,999,,130079254.0,,,Books,books,../../Books/image_12.avif
image_13.avif,Saral BIT Entrance Preparation Book | Updated 2082 Edition,999,,398257540.0,,,Books,books,../../Books/image_13.avif
image_14.avif,"The Art of Being Alone By Renuka Gavrani : Loneliness Was My Cage, Solitude Is My Home",999,,176903149.0,,,Books,books,../../Books/image_14.avif
image_15.avif,The Intelligent Investor By Benjamin Graham,999,,164744220.0,,,Books,books,../../Books/image_15.avif
image_16.avif,The Psychology Of Money By Morgan Housel,999,,170040279.0,,,Books,books,../../Books/image_16.avif
image_17.avif,Share Market Analysis Combo - 5 Books By Rabindra Bhattarai,999,,105936919.0,,,Books,books,../../Books/image_17.avif
image_18.avif,The Intelligent Investor Book by Benjamin Graham,999,,108702804.0,,,Books,books,../../Books/image_18.avif
image_19.avif,Think & Grow Rich Nepali Translation,999,,100848693.0,,,Books,books,../../Books/image_19.avif
image_20.avif,Nilo Prem (Paperback) By Purushottam Bajagai,999,,400123618.0,,,Books,books,../../Books/image_20.avif
image_21.avif,Jurisprudence (Legal Theory) / Dr. S.R.Myneni / 3rd Edition,999,,128521114.0,,,Books,books,../../Books/image_21.avif
image_22.avif,The Power of Your Subconscious Mind By Joseph Murphy,999,,128279962.0,,,Books,books,../../Books/image_22.avif
image_23.avif,It Start With Us + It End With Us (Bestseller Combo),999,,132004175.0,,,Books,books,../../Books/image_23.avif
image_24.avif,Can't Hurt Me By David Goggins,999,,115600136.0,,,Books,books,../../Books/image_24.avif
image_25.avif,Trading In The Zone By Mark Douglas,999,,113469587.0,,,Books,books,../../Books/image_25.avif
image_26.avif,The Secret By Rhonda Byrne,999,,115608656.0,,,Books,books,../../Books/image_26.avif
image_27.avif,The Art of Not Overthinking By Shaurya Kapoor : Believing in Yourself and Building Your Dream Life,999,,176903171.0,,,Books,books,../../Books/image_27.avif
image_28.avif,The Art of Being Alone By Renuka Gavrani,999,,129906121.0,,,Books,books,../../Books/image_28.avif
image_29.avif,The Power Of Your Subconscious Mind By Joseph Murphy,999,,131995949.0,,,Books,books,../../Books/image_29.avif
image_30.avif,The Psychology of Money (Nepali) By Morgan Housel,999,,127277496.0,,,Books,books,../../Books/image_30.avif
image_31.avif,Candlestick Patterns and Chart Patterns(Nepali by Bibek Sharma) Share book,999,,187835292.0,,,Books,books,../../Books/image_31.avif
image_32.avif,Ek Sarko Maya and Nilo Prem( Two Famous Nepali Novels),999,,410674403.0,,,Books,books,../../Books/image_32.avif
image_33.avif,The Art of Public Speaking By Dale Carnegie,999,,115856153.0,,,Books,books,../../Books/image_33.avif
image_34.avif,I Don't Love You Anymore + Warmth,999,,157645363.0,,,Books,books,../../Books/image_34.avif
image_35.avif,The Intelligent Investor By Benjamin Graham,999,,128304781.0,,,Books,books,../../Books/image_35.avif
image_36.avif,The Mountain Is You By Brianna Wiest,999,,135419278.0,,,Books,books,../../Books/image_36.avif
image_37.avif,Srimad Bhagavad Gita Yatharup - Hindi,999,,103494019.0,,,Books,books,../../Books/image_37.avif
image_38.avif,Seto Dharti - Amar Neupane -2068 Bs Madan Puraskar Winner,999,,103376598.0,,,Books,books,../../Books/image_38.avif
image_39.avif,The Power Of Your Subconscious Mind By Joseph Murphy,999,,161553902.0,,,Books,books,../../Books/image_39.avif
image_40.avif,Who Moved My Cheese? by Spencer Johnson,999,,155123665.0,,,Books,books,../../Books/image_40.avif
image_41.avif,Bhagavad Gita Nepali Pocket Edition,999,,128508335.0,,,Books,books,../../Books/image_41.avif
image_42.avif,Radha By Krishna Dharabasi,999,,100420336.0,,,Books,books,../../Books/image_42.avif
image_43.avif,Combo Offer of 3 Best Seller Books : Rich Dad Poor Dad / Think and Grow Rich / The Power of Your Subconscious Mind ),999,,119163347.0,,,Books,books,../../Books/image_43.avif
image_44.avif,Samaya Byawasthapan By Dr.Sudhir Dixit,999,,100942108.0,,,Books,books,../../Books/image_44.avif
image_45.avif,The Richest Man In Babylon By George S. Clason (Nepali Translation),999,,100948046.0,,,Books,books,../../Books/image_45.avif
image_46.avif,Market Wizards Book by Jack D. Schwager,999,,152760150.0,,,Books,books,../../Books/image_46.avif
image_47.avif,Atomic Habits,999,,129172886.0,,,Books,books,../../Books/image_47.avif
image_48.avif,Tax Laws in Nepal by Laxmi Narayan Dhungel,999,,112293602.0,,,Books,books,../../Books/image_48.avif
image_49.avif,How To Win Friends And Influence People By Dale Carnegie,999,,115118139.0,,,Books,books,../../Books/image_49.avif
image_50.avif,Jit Tapaiko By Best Seller Nepali Books,999,,119393750.0,,,Books,books,../../Books/image_50.avif
image_51.avif,The Let Them Theory By Mel Robbins : A Life-Changing Tool That Millions of People Can't Stop Talking About,999,,297840194.0,,,Books,books,../../Books/image_51.avif
image_52.avif,Think and Grow Rich by Napoleon Hill,999,,116689552.0,,,Books,books,../../Books/image_52.avif
image_53.avif,Ikigai & Atomic Habits : Set of 2 Books (Best Combo),999,,179691238.0,,,Books,books,../../Books/image_53.avif
image_54.avif,The Art Of Laziness By Library Mindset,999,,296519799.0,,,Books,books,../../Books/image_54.avif
image_55.avif,Norwegian Wood By Haruki Murakami,999,,115613460.0,,,Books,books,../../Books/image_55.avif
image_56.avif,The Subtle Art Of Not Giving Fu*k A By Mark Manson,999,,170643807.0,,,Books,books,../../Books/image_56.avif
image_57.avif,Ijoriya by Subin Bhattarai,999,,119111840.0,,,Books,books,../../Books/image_57.avif
image_58.avif,"The Power of your Subconscious Mind By Joseph Murphy (Premium Paperback, Penguin) - The Most Compelling Self-Help Guide Ever Written - Original and Unabridged",999,,106724405.0,,,Books,books,../../Books/image_58.avif
image_59.avif,Do It Today by Darius Foroux,999,,127815761.0,,,Books,books,../../Books/image_59.avif
image_60.avif,Start With Why By Simon Sinek,999,,113470602.0,,,Books,books,../../Books/image_60.avif
image_61.avif,Rich Dad Poor Dad By Robert Kiyosaki : What the Rich Teach Their Kids About Money,999,,164945009.0,,,Books,books,../../Books/image_61.avif
image_62.avif,Deep Work: Rules for Focused Success in a Distracted World,999,,128303162.0,,,Books,books,../../Books/image_62.avif
image_63.avif,Shireesh Ko Phool By Parijat,999,,129283539.0,,,Books,books,../../Books/image_63.avif
image_64.avif,The Diary of a CEO: The 33 Laws of Business and Life by Steven Bartlett,999,,129909050.0,,,Books,books,../../Books/image_64.avif
image_65.avif,Start With Why Simon Sinek,999,,127871442.0,,,Books,books,../../Books/image_65.avif
image_66.avif,The Leader In You By Dale Carnegie,999,,115576897.0,,,Books,books,../../Books/image_66.avif
image_67.avif,Chanakya Niti Sutra,999,,128231117.0,,,Books,books,../../Books/image_67.avif
image_68.avif,Intelligent Investor (Nepali) Sharema Lagani by Benjamin,999,,128001036.0,,,Books,books,../../Books/image_68.avif
image_69.avif,You Become What You Think,999,,295455565.0,,,Books,books,../../Books/image_69.avif
image_70.avif,Combo : 2 Self-Help Books: The Power of Your Subconscious Mind / Think and Grow Rich - Self- Improvement Books |,999,,119163336.0,,,Books,books,../../Books/image_70.avif
image_71.avif,"Set of 6 Share Market Analysis Combo Books (Nepali, Paperback) By Rabindra Bhattarai",999,,147436869.0,,,Books,books,../../Books/image_71.avif
